courseNo,abbrName,sections,genEdType,studyProgram
3900200,EX/SP HLTH,1,SC,S
3900202,FUNC EX,1,SC,S
3900203,TREK MTNG EX,1-2,SC,S
4000205,ORG AGR,1,SC,S
4000210,QUAN ANAL AGRI BUS,1,SC,S
0201170,MILITARY SCIENCE,1,SO,S
0294456,DESIGNING LIFE,1,SO,S
0294463,RDMAP LT NEW GEN,1,SO,S
2403183,SOCIETY & CULTURE,1,SO,S
2403185,JUV DEL,1,SO,S
2601111,BUS ACCTG,1,SO,S
2602121,INTRO BUSINESS,1,SO,S
2603244,GEN PRIN INSURANCE,1,SO,S
2605311,PRIN MKTG,6-8,SO,S
2722221,TH CULT GLOB,1,SO,S
2746292,EDU SUS DEV,5-6,SO,S
2801321,NEWS INFO/SOC,1-2,SO,S
2900151,FOUNDATION ECON,1,SO,S
3401102,TAX LAW DLY LIFE,1-2,SO,S
3404117,INTRO TO LAW,1-2,SO,S
3404131,FREE ASM LAW,1,SO,S
3494101,LAW HUM RES MGT,1,SO,S
3800101,GENERAL PSYCHOLOGY,"2,3,7",SO,S
3800202,PSY LIFE WORK,2,SO,S
3800250,HUMAN RELATIONS,1-3,SO,S
3800351,PSY THINK CREAT,1,SO,S
4000204,INTRO AGRO FOOD CH,1,SO,S
5100101,POP/DEV,1-3,SO,S
5698101,EMG TECH LLL,1,SC,I
2147111,EXPL ROBOTICS ENG,1,SC,I
2107220,ENV DAILY LIFE,1,SC,I
0201287,MAP APPLN,2,SC,I
2313213,DIGITAL PHOTO,51,SC,I
2308354,STRATEGY OF LIFE,52,SC,I
2314255,ELEMENT FOOD TECH,51,SC,I
2308303,HISTORY OF SCI,51,SC,I
2305151,ORGANIC GARDENING,51,SC,I
2303165,MAN & ENVIRONMENT,51,SC,I
2140145,HOME IMPROVEMENT,1,SC,I
3900200,EX/SP HLTH,1,SC,I
0201171,EFFECT CAREER MGT,1,SO,I
2602241,INTRO IT/IS,"51,52",SO,I
2602171,BUS CPTS/ETHICS,"1,51,52",SO,I
4000208,INTRO AGR ECON,1,SO,I
2800314,ART PUB SPKG,9,SO,I
2800219,CROSS CULT COMM,1,SO,I
2541160,CREAT URB LIVING,1-2,SO,I
0201172,SELF/CAREER MGT,1,SO,I
2800212,HUMAN COMM,1,SO,I
2403185,JUV DEL,3,SO,I
2403183,SOCIETY & CULTURE,1-2,SO,I
3404117,INTRO TO LAW,1,SO,I
3800202,PSY LIFE WORK,1-4,SO,I
0201212,SP ETHICS,1,HU,I
2541155,VIS CULT,1,HU,I
2234482,INTRO ITAL CINEMA,1,HU,I
